instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_group,temp_group
149,2011-01-07,Spring,2011,January,11,0,Friday,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Afternoon,Cold
150,2011-01-07,Spring,2011,January,12,0,Friday,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Afternoon,Cold
151,2011-01-07,Spring,2011,January,13,0,Friday,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,Afternoon,Cold
152,2011-01-07,Spring,2011,January,14,0,Friday,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Afternoon,Cold
153,2011-01-07,Spring,2011,January,15,0,Friday,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,Afternoon,Cold
154,2011-01-07,Spring,2011,January,16,0,Friday,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,Afternoon,Cold
155,2011-01-07,Spring,2011,January,17,0,Friday,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Afternoon,Cold
156,2011-01-07,Spring,2011,January,18,0,Friday,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,Afternoon,Cold
157,2011-01-07,Spring,2011,January,19,0,Friday,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Afternoon,Cold
158,2011-01-07,Spring,2011,January,20,0,Friday,1,1,7.38,10.605,47.0,7.0015,1,50,51,Afternoon,Cold
159,2011-01-07,Spring,2011,January,21,0,Friday,1,1,7.38,9.85,47.0,8.9981,0,39,39,Afternoon,Cold
160,2011-01-07,Spring,2011,January,22,0,Friday,1,2,7.38,9.85,43.0,11.0014,2,34,36,Afternoon,Cold
161,2011-01-07,Spring,2011,January,23,0,Friday,1,2,7.38,9.85,51.0,11.0014,1,14,15,Afternoon,Cold
162,2011-01-08,Spring,2011,January,0,0,Saturday,0,2,7.38,9.85,51.0,11.0014,1,24,25,Evening,Cold
163,2011-01-08,Spring,2011,January,1,0,Saturday,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,Evening,Cold
164,2011-01-08,Spring,2011,January,2,0,Saturday,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Evening,Cold
165,2011-01-08,Spring,2011,January,3,0,Saturday,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,Evening,Cold
166,2011-01-08,Spring,2011,January,4,0,Saturday,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,Evening,Cold
167,2011-01-08,Spring,2011,January,5,0,Saturday,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Morning,Cold
168,2011-01-08,Spring,2011,January,6,0,Saturday,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Morning,Cold
169,2011-01-08,Spring,2011,January,7,0,Saturday,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Morning,Cold
170,2011-01-08,Spring,2011,January,8,0,Saturday,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Morning,Cold
171,2011-01-08,Spring,2011,January,9,0,Saturday,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Morning,Cold
172,2011-01-08,Spring,2011,January,10,0,Saturday,0,2,7.38,9.85,80.0,11.0014,5,56,61,Morning,Cold
173,2011-01-08,Spring,2011,January,11,0,Saturday,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,Afternoon,Cold
174,2011-01-08,Spring,2011,January,12,0,Saturday,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,Afternoon,Cold
175,2011-01-08,Spring,2011,January,13,0,Saturday,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,Afternoon,Cold
176,2011-01-08,Spring,2011,January,14,0,Saturday,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Afternoon,Cold
177,2011-01-08,Spring,2011,January,15,0,Saturday,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Afternoon,Cold
178,2011-01-08,Spring,2011,January,16,0,Saturday,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Afternoon,Cold
179,2011-01-08,Spring,2011,January,17,0,Saturday,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,Afternoon,Cold
180,2011-01-08,Spring,2011,January,18,0,Saturday,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Afternoon,Cold
181,2011-01-08,Spring,2011,January,19,0,Saturday,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Afternoon,Cold
182,2011-01-08,Spring,2011,January,20,0,Saturday,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Afternoon,Cold
183,2011-01-08,Spring,2011,January,21,0,Saturday,0,1,4.92,5.305,39.0,23.9994,2,35,37,Afternoon,Cold
184,2011-01-08,Spring,2011,January,22,0,Saturday,0,1,4.92,5.305,36.0,26.0027,1,33,34,Afternoon,Cold
185,2011-01-08,Spring,2011,January,23,0,Saturday,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,Afternoon,Cold
186,2011-01-09,Spring,2011,January,0,0,Sunday,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,Evening,Cold
187,2011-01-09,Spring,2011,January,1,0,Sunday,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,Evening,Cold
188,2011-01-09,Spring,2011,January,2,0,Sunday,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,Evening,Cold
189,2011-01-09,Spring,2011,January,3,0,Sunday,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,Evening,Cold
190,2011-01-09,Spring,2011,January,4,0,Sunday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Evening,Cold
191,2011-01-09,Spring,2011,January,5,0,Sunday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Morning,Cold
192,2011-01-09,Spring,2011,January,6,0,Sunday,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,Morning,Cold
193,2011-01-09,Spring,2011,January,7,0,Sunday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,Morning,Cold
194,2011-01-09,Spring,2011,January,8,0,Sunday,0,1,4.1000000000000005,4.545,49.0,19.0012,0,10,10,Morning,Cold
195,2011-01-09,Spring,2011,January,9,0,Sunday,0,1,4.92,3.7900000000000005,46.0,35.0008,0,19,19,Morning,Cold
196,2011-01-09,Spring,2011,January,10,0,Sunday,0,1,5.74,5.305,43.0,26.0027,0,49,49,Morning,Cold
197,2011-01-09,Spring,2011,January,11,0,Sunday,0,1,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,Afternoon,Cold
198,2011-01-09,Spring,2011,January,12,0,Sunday,0,1,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,Afternoon,Cold
199,2011-01-09,Spring,2011,January,13,0,Sunday,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,Afternoon,Cold
200,2011-01-09,Spring,2011,January,14,0,Sunday,0,1,9.02,9.09,32.0,31.0009,8,64,72,Afternoon,Cold
201,2011-01-09,Spring,2011,January,15,0,Sunday,0,1,9.02,9.85,35.0,23.9994,5,77,82,Afternoon,Cold
202,2011-01-09,Spring,2011,January,16,0,Sunday,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,Afternoon,Cold
203,2011-01-09,Spring,2011,January,17,0,Sunday,0,1,7.38,7.575,37.0,26.0027,3,59,62,Afternoon,Cold
204,2011-01-09,Spring,2011,January,18,0,Sunday,0,1,6.5600000000000005,6.819999999999999,40.0,22.0028,4,44,48,Afternoon,Cold
